OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
3,John Smith,PA,6.75,Wood,200,5.15,4.75,1030.00,950.00,133.650000,2113.650000
3,John Smith,PA,6.75,Wood,200,5.15,4.75,1030.00,950.00,133.650000,2113.650000
3,John Smith,PA,6.75,Wood,200,5.15,4.75,1030.00,950.00,133.650000,2113.650000
3,John Smith,PA,6.75,Wood,200,5.15,4.75,1030.00,950.00,133.650000,2113.650000
3,John Smith,PA,6.75,Wood,200,5.15,4.75,1030.00,950.00,133.650000,2113.650000
3,John Smith,PA,6.75,Wood,200,5.15,4.75,1030.00,950.00,133.650000,2113.650000
3,John Smith,PA,6.75,Wood,200,5.15,4.75,1030.00,950.00,133.650000,2113.650000
3,John Smith,PA,6.75,Wood,200,5.15,4.75,1030.00,950.00,133.650000,2113.650000
3,John Smith,PA,6.75,Wood,200,5.15,4.75,1030.00,950.00,133.650000,2113.650000
3,John Smith,PA,6.75,Wood,200,5.15,4.75,1030.00,950.00,133.650000,2113.650000
3,John Smith,PA,6.75,Wood,200,5.15,4.75,1030.00,950.00,133.650000,2113.650000
3,John Smith,PA,6.75,Wood,200,5.15,4.75,1030.00,950.00,133.650000,2113.650000
3,John Smith,PA,6.75,Wood,200,5.15,4.75,1030.00,950.00,133.650000,2113.650000
3,John Smith,PA,6.75,Wood,200,5.15,4.75,1030.00,950.00,133.650000,2113.650000
